Origin,Site,ID,Treatment,Lipids
N,N,N1,Before,0.232848233
N,N,N2,Before,0.304296645
N,N,N3,Before,0.050764526
N,N,N4,Before,0.04776998
N,N,N5,Before,0.121875691
N,N,N1,After,0.192245557
N,N,N2,After,0.18125
N,N,N3,After,0.158445441
N,N,N4,After,0.128888889
N,N,N5,After,0.261465158
N,O,N1,Before,0.232848233
N,O,N2,Before,0.304296645
N,O,N3,Before,0.050764526
N,O,N4,Before,0.04776998
N,O,N5,Before,0.121875691
N,O,N1,After,0.178362573
N,O,N2,After,0.174793008
N,O,N3,After,0.265565438
N,O,N4,After,0.25
N,O,N5,After,0.123015873
O,N,C1,Before,0.119490695
O,N,C2,Before,0.1184375
O,N,C3,Before,0.128890837
O,N,C4,Before,0.100605653
O,N,C5,Before,0.105263158
O,N,C1,After,0.30797546
O,N,C2,After,0.290581162
O,N,C3,After,0.190283401
O,N,C4,After,0.207343413
O,N,C5,After,0.325547445
O,O,C1,Before,0.119490695
O,O,C2,Before,0.1184375
O,O,C3,Before,0.128890837
O,O,C4,Before,0.100605653
O,O,C5,Before,0.105263158
O,O,C1,After,0.223880597
O,O,C2,After,0.16807611
O,O,C3,After,0.187782805
O,O,C4,After,0.179814385
O,O,C5,After,0.162740899